Assessment Name,Relative_URL,Remote Testing,Adaptive/IRT,Test Type,Assessment Length,description,languages,job levels
Microsoft Word 365,https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,available,unavailable,,Approximate Completion Time in minutes = 35,"The Microsoft Word 365 simulation evaluates ability to perform certain operations in a simulated environment of Microsoft Word, and includes the following topics: Applying Illustrations and Graphics, Applying Page Layout, Creating Content, Creating, Printing, and Saving Documents, Formatting Content, Proofreading Documents and Reviewing, Maintaining, and Securing Documents.","English (USA),","Entry-Level,"
Mineral Engineering ,https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Mining Engineering ,https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 16,"Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Mobility ,https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,Multi-choice test that measures the knowledge on topics related to mobility and mobile computing.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Molecular Biology ,https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of molecular genetics, transgenics, rDNA technology, chromosomal genetics, transformation and related processes.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
MongoDB ,https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the conceptual knowledge of MongoDB like sharding, replication, indexing, security and storage. It also checks the knowledge of MongoDB queries and data models.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,available,unavailable,Personality & Behavior,"Approximate Completion Time in minutes = Untimed, approx. 25","By understanding what motivates their staff, managers can unlock each individual’s full potential and direct their energies more constructively. This questionnaire measures 18 dimensions of an individual’s motivation, and provides a comprehensive understanding of those situations which increase and reduce their motivation.","Latin American Spanish, Portuguese (Brazil), Latvian, Danish, Indonesian, Swedish, Turkish, Portuguese, French (Canada), Japanese, Chinese Traditional, Flemish, French (Belgium), Spanish, Finnish, French, German, Greek, Italian, Polish, Romanian, Russian, English International, English (USA), Chinese Simplified, Dutch, Hungarian, Norwegian, Czech, Slovak, English (Australia), Arabic, Korean,","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MQ Candidate Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-candidate-motivation-report/,available,unavailable,Personality & Behavior,,The Candidate Motivation Report is designed as a feedback report for the individual. It provides an in-depth and easy-to-understand evaluation of an individuals motivators and demotivators at work.,"English International, English (USA), Chinese Simplified,","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MQ Employee Motivation Report,https://www.shl.com/solutions/products/product-catalog/view/mq-employee-motivation-report/,available,unavailable,Personality & Behavior,,"The MQ Employee Motivation Report is ideal for use by line managers and those concerned with employee’s performance and well being, the Employee Motivation Report provides an in-depth and easy-to-understand evaluation of what motivates and de-motivates someone. It also offers a comprehensive list of tips and suggestions for managing the employee’s strongest motivators and demotivators.","Chinese Simplified, English International, English (USA),","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MQ Motivation Report Pack,https://www.shl.com/solutions/products/product-catalog/view/mq-motivation-report-pack/,available,unavailable,Personality & Behavior,,"The MQ Report pack consists of the Profile Chart, Employee Motivation Report and the Candidate Report and is a cost effective way of ensuring that your organisation takes a comprehensive approach to understanding what motivates its employees.","Chinese Simplified, English International, English (USA),","General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Entry-Level, Executive, Front Line Manager,"
MQ Profile,https://www.shl.com/solutions/products/product-catalog/view/mq-profile/,available,unavailable,Personality & Behavior,,"The profile chart is the Sten score graphical output of the MQ. It clearly shows the individual’s motivational drivers compared to the selected norm group as well as highlighting any unique scores.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Italian, Norwegian, Polish, Portuguese, Russian, Swedish, English International, English (USA), Romanian, Indonesian, Turkish, Chinese Simplified, Hungarian,","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MS Access ,https://www.shl.com/solutions/products/product-catalog/view/ms-access-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,"English (USA),","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MS Excel ,https://www.shl.com/solutions/products/product-catalog/view/ms-excel-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.","English (USA), Spanish, French, Portuguese (Brazil),","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MS Office Basic Computer Literacy ,https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.","English (USA), Spanish, Portuguese (Brazil), French,","Graduate, Mid-Professional, Professional Individual Contributor,"
MS Office Basic Computer Literacy (Sim) ,https://www.shl.com/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = 5,"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.","English (USA),","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
MS PowerPoint ,https://www.shl.com/solutions/products/product-catalog/view/ms-powerpoint-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 4,"Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.","English (USA), French, Spanish, Portuguese (Brazil),","Entry-Level, Front Line Manager, Graduate, Mid-Professional, Professional Individual Contributor, Supervisor,"
MS Word ,https://www.shl.com/solutions/products/product-catalog/view/ms-word-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 4,Multi-choice test that measures the ability to use MS Word to record and save textual information.,"Spanish, French, Portuguese (Brazil), English (USA),","Professional Individual Contributor, Supervisor, Mid-Professional, Entry-Level, Graduate, Manager,"
MuleSoft Development ,https://www.shl.com/solutions/products/product-catalog/view/mulesoft-development-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 17,"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Multitasking Ability,https://www.shl.com/solutions/products/product-catalog/view/multitasking-ability/,available,unavailable,,Approximate Completion Time in minutes = 20,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks.  This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.","English (USA),","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Networking and Implementation ,https://www.shl.com/solutions/products/product-catalog/view/networking-and-implementation-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Node.js ,https://www.shl.com/solutions/products/product-catalog/view/node-js-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Nursing ,https://www.shl.com/solutions/products/product-catalog/view/nursing-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 11,Multi-choice test that measures the knowledge of carrying out various nursing tasks.,"English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,available,unavailable,Personality & Behavior,"Approximate Completion Time in minutes = Untimed, approx. 25","The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.","English International, French (Canada), Portuguese, Chinese Simplified, Chinese Traditional, French (Belgium), French, Polish, Slovak, Czech, Danish, Flemish, Dutch, Estonian, Finnish, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Norwegian, English (USA), Arabic, Portuguese (Brazil), Spanish, Latin American Spanish, Romanian, Russian, Serbian, Swedish, Thai, Turkish, Malay, Vietnamese,","Professional Individual Contributor, Supervisor, Mid-Professional, Front Line Manager, General Population, Graduate, Manager, Director, Executive,"
Operations Management ,https://www.shl.com/solutions/products/product-catalog/view/operations-management-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.","English (USA),","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Candidate Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-plus-report/,available,unavailable,Personality & Behavior,,A brief narrative OPQ (Occupational Personality Questionnaire) report designed to be given to the individual who completed the OPQ.,"Finnish, English International,","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Candidate Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-candidate-report-2-0/,available,unavailable,Personality & Behavior,,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,Not found,Not found
OPQ Emotional Intelligence Report,https://www.shl.com/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,available,unavailable,Personality & Behavior,,This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people.  It is intended for use in a development setting.,"Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Latin American Spanish, Portuguese, Swedish, English International, English (USA),","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential.  It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.","Dutch, English International, English (USA), Romanian, Portuguese, French, German, Swedish, Chinese Simplified, Portuguese (Brazil), Japanese, Polish, Russian, Latin American Spanish,","Director, Executive, Manager, Mid-Professional, Professional Individual Contributor,"
OPQ Manager Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report/,available,unavailable,Personality & Behavior,,"This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers.  It uses clear succinct bullets and tables for ease of interpretation.  It provide simple comments on each of the personality traits.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Romanian, Czech, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA),","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
OPQ Manager Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,available,unavailable,Personality & Behavior,,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.,Not found,"Supervisor, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Entry-Level,"
OPQ Maximising your Learning Report,https://www.shl.com/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,available,unavailable,Personality & Behavior,,This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development.  It summarises the preferred approach to learning across four dimensions.,"Danish, Dutch, Portuguese, Swedish, English International,","Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director,"
OPQ MQ Sales Report,https://www.shl.com/solutions/products/product-catalog/view/opq-mq-sales-report/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use input from the SHL Motivation Questionnaire (MQ) to add information about the sales motivators and drives of an individual. 
Note: updated versions of Turkish, Hungarian and Indonesian Sales Report were launched on 01 July 2013.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Portuguese (Brazil), Spanish, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA), Chinese Traditional, Portuguese, Romanian,","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Premium Plus Report,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.","English International,","Supervisor, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Director, Executive,"
OPQ Premium Plus Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",Not found,"Manager, Graduate, Mid-Professional, Professional Individual Contributor, Director, General Population, Entry-Level, Executive, Front Line Manager, Supervisor,"
OPQ Profile Report,https://www.shl.com/solutions/products/product-catalog/view/opq-profile-report/,available,unavailable,Personality & Behavior,,"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Arabic, Romanian, Slovak, Serbian, Chinese Simplified, Chinese Traditional, Danish, Flemish, Dutch, English International, Finnish, French (Belgium), French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese (Brazil), Portuguese, Russian, Latin American Spanish, Spanish, Swedish, Thai, Turkish, English (USA), Czech, Estonian, Latvian, Lithuanian,","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Team Impact Group Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,available,unavailable,Personality & Behavior,,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.“IMPORTANT! Please note that for a sample report contact Managed Services"".","Danish, English International, Finnish, Dutch, Norwegian, Swedish, English (USA),","Executive, Director, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Team Impact Individual Development Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,available,unavailable,Personality & Behavior,,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.","English International, Danish, Dutch, Finnish, Latin American Spanish, Norwegian, Swedish, English (USA),","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Team Impact Selection Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-impact-selection-report/,available,unavailable,Personality & Behavior,,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes.  They are supported by clear and easy to understand graphics which do not require OPQ training.","Danish, Dutch, Finnish, Latin American Spanish, Norwegian, Swedish, English International, English (USA),","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,available,unavailable,Personality & Behavior,,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,"Flemish, French (Belgium), Portuguese (Brazil), Danish, French (Canada), French, German, Italian, Latin American Spanish, Norwegian, Portuguese, Swedish, Turkish, English International, English (USA),","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ Team Types and Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,available,unavailable,Personality & Behavior,,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles.  Belbins team types: individual preferred role when working in ateam.  Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,"Flemish, French (Belgium), Portuguese (Brazil), Danish, Dutch, Finnish, French (Canada), French, Italian, Latin American Spanish, Norwegian, Portuguese, English International, English (USA),","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","English International, English (USA), Dutch, French, German, Norwegian, Swedish, Japanese, Portuguese, Chinese Simplified, Italian, Danish, Finnish, Latin American Spanish, Portuguese (Brazil),","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.",Not found,"Director, Executive, Front Line Manager, Manager, Graduate, General Population, Professional Individual Contributor, Supervisor, Mid-Professional,"
OPQ Universal Competency Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.","Czech, Romanian, Slovak, Serbian, Portuguese (Brazil), Spanish, Chinese Traditional, Danish, Dutch, Finnish, French (Canada), French, German, Greek, Hungarian, Icelandic, Indonesian, Italian, Japanese, Korean, Latin American Spanish, Norwegian, Polish, Portuguese, Russian, Chinese Simplified, Swedish, Thai, Turkish, English International, English (USA),","Graduate, Director, Executive, Front Line Manager, General Population, Supervisor, Manager, Mid-Professional, Professional Individual Contributor,"
OPQ Universal Competency Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,available,unavailable,Personality & Behavior,,This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework.  It graphically outlines how an individual's typical way of behaving is likely to impact on competencies.  It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.,Not found,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Director, Executive, Front Line Manager, General Population,"
OPQ User and Managers Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-and-managers-report/,available,unavailable,Personality & Behavior,,"This OPQ (Occupational Personality Questionnaire) report consists of two reports. The User Report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  The Manager's Report describes the individual's personal style in narrative text that can be given directly to a line manager.
These reports can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.","Flemish, French (Belgium), Danish, Finnish, French, Italian, Norwegian, Portuguese, English International,","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
OPQ User Report,https://www.shl.com/solutions/products/product-catalog/view/opq-user-report/,available,unavailable,,,"This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work.  It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.","Flemish, French (Belgium), Spanish, Danish, Dutch, Finnish, French, German, Italian, Norwegian, Portuguese, English International, English (USA), Portuguese (Brazil), French (Canada), Latin American Spanish,","Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Oracle DBA (Advanced Level) ,https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Oracle DBA (Entry Level) ,https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Oracle PL/SQL ,https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 11,"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Oracle WebLogic Server ,https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Organic Chemistry ,https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,"English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Paint Technology ,https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.","English (USA),","Professional Individual Contributor, Graduate, Mid-Professional,"
Pediatrics ,https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Pega Development ,https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 17,"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performance.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Perl ,https://www.shl.com/solutions/products/product-catalog/view/perl-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Petrochemical Engineering ,https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Petroleum Engineering ,https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Pharmaceutical Analysis ,https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Pharmaceutical Chemistry ,https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 17,"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
